"id","price_doc"
30474,5532450.6800058
30475,8462318.82733353
30476,5408393.08662292
30477,5490248.52687451
30478,5412751.2017775
30479,9844950.84565571
30480,4546874.9673945
30481,4428253.64861522
30482,4689813.81994293
30483,4817290.82931355
30484,5994807.2740182
30485,5565514.26923018
30486,3984667.35997249
30487,4207810.36101297
30488,6060706.99045774
30489,6435860.81910196
30490,22484689.1702106
30491,20377371.8308905
30492,5670079.2828069
30493,16161183.3927652
30494,7253542.47278371
30495,12420780.2942658
30496,9294982.16692812
30497,8243678.41879704
30498,4628006.21619585
30499,7438978.71471643
30500,11461192.7560419
30501,6649763.39650607
30502,3511567.25835192
30503,6642359.6469851
30504,6096255.18953669
30505,11361185.5912858
30506,3631237.25891247
30507,5005001.95225541
30508,5522246.61974579
30509,7933664.69892409
30510,9199351.37666568
30511,6613395.25726875
30512,6642589.54933704
30513,4687172.63407808
30514,4532603.86705779
30515,9943182.67828057
30516,5677734.66198891
30517,10595507.0694377
30518,8059156.35843934
30519,4905705.56539212
30520,7019198.99138242
30521,6243174.58523999
30522,7615590.55139899
30523,6624199.02411085
30524,9938164.99316696
30525,11001752.0609824
30526,5323633.79617924
30527,5002478.03369205
30528,6984555.27246068
30529,6588026.17293577
30530,5955151.25836191
30531,14135785.2206055
30532,5229306.26222452
30533,10082469.336811
30534,7263168.34454246
30535,9387144.73772977
30536,5932787.42862276
30537,12749268.1671323
30538,5031011.12745702
30539,11740929.1540142
30540,9698862.65533473
30541,6114854.49897401
30542,2515616.61983738
30543,6176261.0895261
30544,7283451.20537571
30545,8571858.1554886
30546,4478963.33780391
30547,9645273.50498586
30548,4922590.18613226
30549,5353277.92956876
30550,12517331.5709193
30551,5329505.05684056
30552,2325941.33359669
30553,7534917.53465247
30554,11604663.9589525
30555,6285115.89102456
30556,8491945.08820858
30557,8301025.90840511
30558,8751659.43213906
30559,6912070.92073849
30560,6036330.06886099
30561,6758616.37175206
30562,12451865.3292623
30563,4667159.36993895
30564,6902147.6059964
30565,7160115.56821577
30566,7368335.06868127
30567,2376733.67956037
30568,10911737.1814054
30569,10153361.2988487
30570,6506155.08880562
30571,7066927.32441751
30572,5204755.97502632
30573,6275301.10230485
30574,6578724.3729629
30575,7782711.3924027
30576,4223399.7456623
30577,4079566.01066979
30578,3497850.65765489
30579,6875932.85344651
30580,4827158.69807663
30581,5202311.59324419
30582,13303139.8189035
30583,7088016.1219478
30584,4625398.15764758
30585,2729623.99450835
30586,8875831.61090557
30587,6072646.31573847
30588,8377800.76612277
30589,7870565.21787279
30590,14125201.1988587
30591,5269231.86835089
30592,6897743.99546278
30593,9468496.30611794
30594,8353685.95628231
30595,5595026.60502355
30596,6792665.99526038
30597,6275301.10230485
30598,9633975.63664751
30599,10695149.2823386
30600,4922217.63808191
30601,6128772.16030315
30602,2299225.96462358
30603,12509650.3805171
30604,4712406.98529766
30605,6413380.57422976
30606,17577522.0503075
30607,6569675.3805284
30608,8565571.02927649
30609,6421913.60508648
30610,3518403.44064613
30611,5522246.61974579
30612,7639028.48359683
30613,8819683.71964933
30614,21236550.2553512
30615,7727194.91328244
30616,5660659.0365996
30617,9134678.23673112
30618,4937268.76842717
30619,4537487.86918377
30620,3078292.06403458
30621,8733515.76753978
30622,7704728.84490987
30623,6293529.31442317
30624,6729301.50617026
30625,8047337.1719193
30626,6139203.09400996
30627,7721196.25199262
30628,6215934.98535179
30629,5316273.06561151
30630,4842496.87197059
30631,6009053.20508751
30632,3864209.93491319
30633,6100627.25462484
30634,11142211.7518685
30635,9571761.07336413
30636,5656566.20757777
30637,9199069.29966326
